rank,traj_id,travel_time_true,travel_time_pred,abs_error,ape_percent,hour,n_points,path_len_km,direct_dist_km,detour_ratio
1,8932,2810.0,2302.248681316256,507.7513186837441,18.069441946040715,11.0,146.0,13.142383858735682,0.36625074539357955,35.8835689047203
2,10844,2634.0,2167.4367821033875,466.5632178966125,17.713106222346717,21.0,139.0,9.965767136502782,6.963607981308211,1.4311212180888122
3,12464,2279.0,1850.4650673750773,428.5349326249227,18.803638991879012,20.0,120.0,6.698723708821339,1.8248774737106737,3.6707799867792064
4,14496,1907.0,2312.1117515273663,405.1117515273663,21.243405953191733,16.0,150.0,6.0010930618610505,3.3367799089713532,1.7984683513966133
5,13069,2080.0,1761.9447718375513,318.05522816244866,15.291116738579264,15.0,112.0,6.756622226577824,4.940300505574999,1.3676540969427171
6,12893,1455.0,1137.000609358912,317.999390641088,21.85562822275519,15.0,73.0,4.457442208714688,2.8159345870957204,1.582935281643731
7,10766,2014.0,1712.6597981994894,301.3402018005106,14.962274170829723,16.0,111.0,9.964630580764329,6.484207485084628,1.5367538135825516
8,13780,1794.0,2076.114001157061,282.114001157061,15.725418124696825,16.0,134.0,8.413488382546117,6.712944956207367,1.2533230106059905
9,6832,2511.0,2231.32857090135,279.67142909865015,11.13785062121267,14.0,143.0,14.550651175817938,6.714900736934123,2.1669197722886144
10,955,1743.0,1470.6406573367901,272.3593426632099,15.625894587676987,21.0,94.0,10.596948044924597,7.560394036119213,1.4016396492429464
11,3776,1104.0,836.9369226433452,267.06307735665484,24.190496137378155,16.0,54.0,5.797027259622879,4.042212003243048,1.4341225188020694
12,15619,1525.0,1789.675338703991,264.675338703991,17.3557599150158,9.0,115.0,8.558626162196333,4.500393542744164,1.9017506093428482
13,1813,2672.0,2414.9423258154734,257.0576741845266,9.62042193804366,14.0,155.0,12.250872960661335,6.631306135224467,1.8474298593434864
14,7423,1855.0,1601.2168971751998,253.78310282480015,13.681029801876019,10.0,104.0,10.205942719735793,8.355233669152263,1.2215029673456523
15,13652,2551.0,2301.9965258197444,249.00347418025558,9.761014275980227,17.0,148.0,8.200394905873063,4.765368533823037,1.7208312111999997
16,15723,1601.0,1359.0255803547282,241.97441964527184,15.113955005950771,14.0,88.0,3.9467418391211915,2.7416817776058506,1.4395331622212002
17,9974,1185.0,962.168903177235,222.83109682276495,18.80431196816582,15.0,61.0,3.677767922961953,2.429857205875152,1.5135736841117566
18,12472,904.0,1119.578352835602,215.5783528356019,23.847162924292245,9.0,73.0,3.6440630141358796,2.041314922716909,1.7851547419668972
19,1422,1010.0,794.7623429003603,215.2376570996397,21.310659118776208,8.0,52.0,4.269904106824137,3.86781965102275,1.1039563609681402
20,6808,2778.0,2572.5062603008228,205.49373969917724,7.397182854542017,9.0,163.0,11.705262582018658,7.754340000771359,1.5095111358096607
21,11067,2033.0,1830.0504422474792,202.94955775252083,9.982762309518979,17.0,117.0,8.811273724467577,6.421685991119783,1.3721122049026115
22,14211,733.0,934.3762649194472,201.37626491944718,27.47288743785091,21.0,60.0,5.192809621631138,4.891326661720584,1.0616362350668485
23,14631,1107.0,910.9318770663194,196.06812293368057,17.71166422165136,19.0,60.0,3.6086213243070007,2.5596849647130573,1.4097911946408335
24,15219,1746.0,1558.361255615598,187.6387443844019,10.746778028888997,18.0,101.0,5.273957663127948,4.462118294867838,1.1819403508853314
25,12151,2235.0,2047.6997351606778,187.30026483932215,8.380325048739245,15.0,128.0,10.165955210223641,8.052381013972617,1.2624781654747232
26,8305,1147.0,964.1649264029123,182.83507359708767,15.940285405151497,8.0,62.0,3.465944889782627,2.3587492038836277,1.4693994953240583
27,14837,1684.0,1502.3030477505104,181.69695224948964,10.789605240468505,14.0,96.0,6.476779847575308,6.0811793598603145,1.0650532510726802
28,5980,2240.0,2065.12530882456,174.87469117544015,7.806905856046435,17.0,128.0,8.161916718519555,2.8561088359610736,2.8577050761348493
29,14620,1162.0,991.204236596656,170.79576340334404,14.698430585485717,18.0,65.0,3.505884946045562,2.5207730659478043,1.3907975269195276
30,4760,1358.0,1187.7898064063263,170.2101935936737,12.533887598945043,23.0,77.0,8.285388446586973,6.401294591317094,1.2943301278190693
