dataset,traj_id,missing_count,player_mae_m,player_rmse_m,b23_mae_m,b23_rmse_m,b28_mae_m,b28_rmse_m,player_minus_b23_mae_m,player_minus_b28_mae_m
8,524,72,121.42039169734186,153.65097381088722,87.68934793414563,125.95661540888881,65.11092119246408,83.29395029793935,33.731043763196226,56.30947050487778
8,1479,50,310.0995373987484,374.068913435986,107.14343233708956,136.4981091819851,120.96570245350787,148.16772905696322,202.95610506165883,189.13383494524052
8,1696,42,286.50968295531715,371.41120707499556,84.57084822682344,111.03963187875847,87.78305307962022,112.76615418921858,201.9388347284937,198.72662987569691
8,1889,68,184.89578304274386,231.49668548732683,114.20385944077813,156.17096807616215,114.10524419578245,154.2528793014364,70.69192360196573,70.79053884696141
8,2448,63,238.34116406463514,310.7332485932247,109.92206979865162,129.13067525750864,111.35316270524783,129.29247845762404,128.41909426598352,126.98800135938731
8,2502,45,220.7473502964724,245.34804205930206,127.37863013392709,175.6032400008877,137.92838979398996,196.84081391067198,93.36872016254532,82.81896050248244
8,3234,56,239.25488490411539,294.02247941692156,94.52492249384237,123.04916007618966,86.2448836491718,113.29762852535306,144.729962410273,153.01000125494357
8,3394,79,179.75208394520132,214.47832049059008,87.45302379660039,104.32815289431764,86.21061185507138,102.58397687951293,92.29906014860093,93.54147209012994
8,4906,60,288.58831391621436,348.3257759277529,98.57228109378742,137.61350830346527,100.72998358357472,130.93101380670012,190.01603282242695,187.85833033263964
8,4967,84,219.3510501874398,254.39241155419174,73.8899190859258,91.19368109211575,85.92138229759807,108.7967183262364,145.461131101514,133.4296678898417
8,5367,59,219.38089682941418,287.91184532631394,89.5518930068372,117.51270894394312,76.2056940792507,94.95470688903626,129.82900382257696,143.17520275016346
8,5750,49,124.97685658874768,167.08880415903954,90.33026690720634,131.49297488703468,95.03130199561613,131.1464918341555,34.64658968154134,29.945554593131547
8,5857,55,174.91131018162744,270.2491437395627,100.80244759740772,125.36149002441844,95.54066695520406,116.6387202612432,74.10886258421972,79.37064322642338
8,6046,46,174.3020696965528,215.76934705911867,107.02242653247635,154.96521822627966,95.97723682255092,137.07520976253528,67.27964316407645,78.32483287400187
8,6197,63,321.44291260499085,409.67453218882247,110.98687095007944,144.56002966344883,94.12334850022984,118.90452135196126,210.45604165491142,227.319564104761
8,6824,57,89.67314725379232,112.29689542804843,96.28419017761644,133.5711679578231,78.56591292155306,98.32187310483789,-6.611042923824115,11.107234332239258
8,7088,56,314.8162813483781,386.8274594891102,71.53706532336295,93.33223296073537,68.15502841527311,89.55252333319669,243.27921602501513,246.66125293310498
8,7426,42,254.72145024928355,332.7518168109929,98.93114838829877,123.04473969020789,97.22813574373968,120.83033389063563,155.79030186098478,157.49331450554388
8,7453,57,273.2879374535615,311.4863129158313,87.13397772202238,134.9438797512871,85.47756856635608,125.09218372948186,186.1539597315391,187.8103688872054
8,8066,53,113.56450373257164,165.52286461063983,82.36806806385408,98.53293910384767,80.56294944105869,95.48219429746848,31.196435668717555,33.001554291512946
8,8287,70,120.77491013055706,145.2868932680174,65.70763585568606,78.81562975042499,66.38914150280237,80.8700952097503,55.067274274871,54.385768627754686
8,8999,90,145.1590460842508,187.86929482945317,81.57208622378718,97.15019052247665,81.70593565992772,98.51819055023388,63.58695986046362,63.453110424323086
8,9021,63,243.5145541920811,343.76356062901004,74.95989870106519,95.14767767770088,67.44857592346737,88.08869087574192,168.55465549101592,176.06597826861372
8,9145,85,211.6103402623858,275.4325234882776,77.54318815789492,107.1356107769658,76.78564786709751,104.85978340438845,134.06715210449087,134.82469239528828
8,10823,63,199.6454333612915,269.9175506710945,74.7669552539435,98.46032012664573,74.26611372804426,98.94803189736793,124.87847810734802,125.37931963324725
8,10948,45,105.52249428143689,136.15575542814267,67.72430251986329,87.5861211901476,61.280670548242796,81.55574915092527,37.798191761573605,44.241823733194096
8,11235,97,298.94866264856586,339.75565796325037,72.04566420470233,99.18340405999193,67.9053267347224,90.74979608023078,226.9029984438635,231.04333591384346
8,11432,52,336.7455314387356,408.1702148101813,75.89639348121196,100.04209016874601,83.63073302701743,108.81181629760027,260.8491379575237,253.1147984117182
8,12296,63,149.14347793018754,179.5250145554849,73.573752968982,93.81206289947549,65.26304572400338,88.14308071533446,75.56972496120554,83.88043220618417
8,12415,47,224.77746526283377,282.31807069346127,56.52552894695966,69.80282490431935,54.77472653217408,66.58203154956338,168.2519363158741,170.0027387306597
8,12575,84,146.94220114920182,196.94142445718194,76.12478846238015,108.77911122654749,72.15939414792413,104.33486826813615,70.81741268682167,74.78280700127769
8,13476,59,260.0995361042216,323.5085193150698,71.47578218255057,87.93582768002372,66.19343516907739,81.97105315323721,188.62375392167104,193.90610093514422
8,13603,80,218.10776266156478,302.5790136959117,69.43611263174117,91.81737959182966,66.89859432300382,92.10820975693254,148.6716500298236,151.20916833856097
8,13967,170,187.26676058568177,253.44042286180553,59.15300914467,83.26433798960635,60.03814102423484,86.0534704670823,128.11375144101177,127.22861956144692
8,14417,56,258.0749009998516,319.70224505810154,71.63579008862273,105.27291020092476,57.56521847577437,84.24298638165334,186.43911091122885,200.50968252407722
