group,bucket,count,share,mae,rmse,mape,bias,p50_abs_error,p90_abs_error,p95_abs_error
travel_time_bucket,10-20m,10391,0.6266433482089012,14.04540691036888,20.38063773069815,1.484284588607183,0.7872824588343653,10.609342350072438,28.115879256455173,37.41552571643251
travel_time_bucket,20-30m,4867,0.29351103606320106,18.613724700982928,27.258128909808583,1.306423877090203,-1.2075085010583504,13.769368409768049,37.42985876838768,49.59731121843314
travel_time_bucket,30-45m,1210,0.07297069111084309,25.10323151331755,43.18490062924121,1.196350900644651,-3.5298476057205215,16.725144384215355,50.96898060511409,68.03015862785057
travel_time_bucket,45m+,114,0.0068749246170546376,40.44675879623516,67.27169817728559,1.3621224823235578,-5.513747207342201,29.068051414617912,68.54478250207558,85.42034242062778
departure_hour_bucket,00-06,298,0.01797129417440598,14.521590987933191,20.395346633951707,1.5231318634744082,-0.21373935519638979,11.235821178687388,27.910115982089668,37.88525806038234
departure_hour_bucket,06-10,2509,0.15130864793149199,15.289987206722383,22.919431159468566,1.364577243428666,0.409509552086678,11.302958757243232,31.347289723389533,40.60257893339453
departure_hour_bucket,10-17,7900,0.4764202146906284,16.32859525507337,25.687334446540596,1.3758032485004985,-0.04768965881599105,11.89076564801195,32.93112020084492,44.579796636846844
departure_hour_bucket,17-20,3064,0.18477867567241588,17.694814942180024,26.212353845993913,1.4406344875766142,-1.3579192477852293,12.671013950257475,36.48170401861738,51.080345939787065
departure_hour_bucket,20-24,2811,0.16952116753105778,16.229752559666395,26.303756007638405,1.5026202029930948,0.3478026012313691,11.78386155562589,32.35229212034915,43.91436146170156
path_length_bucket,12-16km,225,0.013568930165239416,28.855320960504386,53.15016075841411,1.4635941956229515,0.9626880861850952,18.56340376798562,52.421396317907956,68.33770634172133
path_length_bucket,16-22km,5,0.0003015317814497648,27.72731962395319,30.11320956148837,1.2550668373559697,5.5826418751186795,21.515155404530105,42.328797371438306,43.71148836663524
path_length_bucket,8-12km,3070,0.1851405138101556,20.200109820249565,31.15043428428517,1.3466240722013902,-0.3750411243506739,14.666193612623033,41.47305535692662,55.97182646179604
path_length_bucket,<8km,13282,0.8009890242431552,15.274750865593477,23.0971844345312,1.4240861913055232,-0.1271733478747639,11.300363700674495,30.945886708597527,41.58339255619749
n_points_bucket,121-160,881,0.05312989989144856,25.118891807057533,45.08256093777286,1.1754907313314162,-1.4176042508208146,16.671259182176072,49.774419127381634,65.66320626521883
n_points_bucket,161-200,172,0.01037269328187191,29.7030445820607,40.713822608921454,1.0826613826513738,2.060670018274973,21.0685084706181,61.82034652678023,68.25133951465143
n_points_bucket,81-120,4458,0.2688457363406103,18.710557753826844,28.131092605621777,1.2568271515531828,-0.4858646719067601,13.957457186668762,37.02980715983993,48.32953863789976
n_points_bucket,<=80,11037,0.6656012543722108,14.471990760176622,21.37097552902801,1.4973054081760393,0.028624364854669414,10.74393346685747,29.182565517523326,39.241906783653555
n_points_bucket,>200,34,0.002050416113858401,33.73429771913002,42.15975609629671,0.997423499944762,4.369325436095551,26.37606103686221,69.51684700935274,81.78638850688868
detour_bucket,1.15-1.30,4306,0.25967917018453746,15.425619454103844,22.523384843891943,1.3560274415346634,0.6559476338760726,11.622173050834476,31.19336452863763,42.27390620030286
detour_bucket,1.30-1.50,6408,0.3864431311060186,16.14872965450491,24.569665534489232,1.3981678366519648,-0.3887605554708816,11.870027289743348,32.90759570702333,43.63730430434457
detour_bucket,<1.15,1847,0.11138584006754312,14.898088951700615,22.348385700072217,1.4124295702984955,-0.4850704380754603,10.67879794048531,30.94407951841225,40.65567974083914
detour_bucket,>=1.50,4021,0.24249185864190084,18.429274973882702,30.45522373790007,1.486486358101169,-0.5056907242848863,13.00734339646715,37.636285085558484,51.112154954943776
