order,milestone,ratio,count,mae,rmse,p75,p95,topology_violation_rate,topology_eval_points,source_dir
0,baseline23_mainroad_full,1/8,1092547,84.08344402695857,111.94930100412574,116.3849768489402,225.39522792874672,0.05333333333333334,30000,task_A_recovery\analysis_outputs_baseline23_mainroad_full
0,baseline23_mainroad_full,1/16,1170232,146.0580590884474,196.07604608007168,200.63476678017966,399.94141906819925,0.12623333333333334,30000,task_A_recovery\analysis_outputs_baseline23_mainroad_full
1,baseline23_e5,1/8,1092547,84.19531153388252,112.87685835157554,116.34235966460736,229.36109727759023,0.03303333333333333,30000,task_A_recovery\analysis_outputs_baseline23_e5
1,baseline23_e5,1/16,1170232,147.4253390527389,200.76443046284285,202.9288382778249,412.98671206230307,0.07356666666666667,30000,task_A_recovery\analysis_outputs_baseline23_e5
2,baseline25_speedaware_cont,1/8,1092547,83.35961896326917,111.50437664359175,115.3235405548775,224.9049655658439,0.0507,30000,task_A_recovery\analysis_outputs_baseline25_speedaware_cont
2,baseline25_speedaware_cont,1/16,1170232,145.3025371133539,195.68276342263542,199.78764687571527,399.26730379051764,0.1219,30000,task_A_recovery\analysis_outputs_baseline25_speedaware_cont
3,baseline26_pchip_smooth,1/8,1092547,81.48540402213095,109.04950153103701,112.92331326319189,220.14793228105032,0.041166666666666664,30000,task_A_recovery\analysis_outputs_baseline26_pchip_smooth
3,baseline26_pchip_smooth,1/16,1170232,142.46014199175917,192.18695993795362,196.29170294974287,392.888544474848,0.1041,30000,task_A_recovery\analysis_outputs_baseline26_pchip_smooth
